Mesto,Razdalja,Veter,Ime,Rojstvo,Drzava,Prizorisce,Datum,Rezultat,Starost
182,6.38,0.0,Ashley MOORE,,USA,"Clemson Indoor Track &amp; Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1081,
182,6.38,0.0,Samiyah SAMUELS,02 OCT 1997,USA,"Convention Center, Albuquerque, NM (USA) (i)",16 FEB 2024,1081,26
182,6.38,0.0,Jiawei ZHONG,07 FEB 1999,CHN,Xi&#39;an (CHN) (i),03 MAR 2024,1081,25
182,6.38,+2.0,Robbie GRACE,2001,USA,"Jack Rose Track, Long Beach, CA (USA)",13 APR 2024,1081,
182,6.38,+1.5,Arianna PASSERI,,USA,"Track &amp; Field Complex, Mankato, MN (USA)",10 MAY 2024,1081,
182,6.38,+0.3,Maria STEFANOPOULOU,17 JUN 1999,GRE,"Central Square, Kalamata (GRE)",21 MAY 2024,1081,24
182,6.38,+1.9,Michelle GRAHAM,,USA,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1081,
192,6.37,0.0,Shantae FOREMAN,22 OCT 2002,JAM,"The Track at New Balance, Boston, MA (USA) (i)",23 FEB 2024,1079,21
192,6.37,0.0,Celine-Jada BROWN,2004,JAM,"SPIRE Institute Indoor Track &amp; Field Facility, Geneva, OH (USA) (i)",23 FEB 2024,1079,
192,6.37,0.0,Yuliya SOKHATSKAYA,12 DEC 2001,RUS,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1079,22
192,6.37,+1.0,Foteini-Christina MIZIOU,24 DEC 1999,GRE,"Kaftanzoglio Stadium, Thessaloniki (GRE)",19 MAY 2024,1079,24
192,6.37,+1.0,Andreea Florina SABOU,05 MAY 2000,ESP,"Camp d’Atletisme Antoni Amor&#243;s, Santa Coloma de Gramenet (ESP)",09 JUN 2024,1079,24
192,6.37,+2.0,Anastasiya KUKUSHKINA,09 JUL 2004,RUS,"Stadium Desna, Bryansk (RUS)",19 JUL 2024,1079,20
192,6.37,+0.2,Laura MART&#205;NEZ,03 NOV 2006,ESP,"Estadio Atl&#233;tico de la VIDENA, Lima (PER)",27 AUG 2024,1079,17
192,6.37,+1.5,Shanieka RICKETTS,02 FEB 1992,JAM,"Main City Square, Zagreb (CRO)",06 SEP 2024,1079,32
192,6.37,-0.4,Huiling QIN,29 NOV 2003,CHN,"Sports Center, Quzhou (CHN)",14 SEP 2024,1081,20
202,6.36,0.0,Iryna NERUBALSHCHUK,21 SEP 1998,UKR,"Atak&#246;y Arena, Istanbul (TUR) (i)",10 FEB 2024,1077,25
202,6.36,0.0,Elīza Marija KRAULE,26 JUN 2001,LAT,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1077,22
202,6.36,+1.0,Miu KIMURA,25 AUG 2000,JPN,"Universiade Commemorative Stadium, Kobe (JPN)",21 APR 2024,1077,23
202,6.36,+2.0,Marie-jeanne OUREGA,04 APR 1997,CIV,"Cougar Athletic Stadium, Azusa, CA (USA)",11 MAY 2024,1077,27
202,6.36,+1.6,Cleo MARTIN-EVANS,08 MAY 2003,GBR,"Horspath Athletics Track, Oxford (GBR)",25 MAY 2024,1077,21
202,6.36,+1.2,Tomysha CLARK,12 NOV 2002,AUS,"HFC Bank Stadium, Suva (FIJ)",05 JUN 2024,1077,21
202,6.36,+0.2,Emilia KJELLBERG,03 APR 1996,SWE,"Sollentunavallen, Sollentuna (SWE)",16 JUN 2024,1077,28
210,6.35,0.0,Anastassiya RYPAKOVA,21 SEP 2004,KAZ,"Aftab Enghelab Sport Complex, Tehran (IRI) (i)",17 FEB 2024,1075,19
210,6.35,+1.3,Ameia WILSON,29 NOV 2000,USA,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1075,23
210,6.35,+1.2,Liwen CHEN,03 JAN 1998,CHN,"HOC Stadium, Hangzhou (CHN)",14 APR 2024,1075,26
